epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,850.593,1.19393,2.29551,1.42892,0.90319,0.08254,0.09595,0.0535,1.37831,1.4306,1.55249,0.000158543,0.000158543,0.000158543
2,1443.2,1.0184,1.41682,1.30636,0.71032,0.07959,0.09481,0.05435,1.37655,1.41591,1.56308,0.000306742,0.000306742,0.000306742
3,1995.32,0.98035,1.2621,1.28372,0.65529,0.11663,0.11311,0.06436,1.33517,1.32416,1.526,0.000444469,0.000444469,0.000444469
4,2425.6,0.93685,1.16307,1.25531,0.60343,0.11263,0.11376,0.06349,1.33961,1.31577,1.53363,0.000428876,0.000428876,0.000428876
5,2911.21,0.8992,1.11009,1.2367,0.78691,0.14967,0.12977,0.07513,1.28787,1.21205,1.474,0.000413168,0.000413168,0.000413168
6,3410.19,0.86726,1.04845,1.20809,0.69965,0.13566,0.1269,0.07255,1.30711,1.17617,1.48972,0.00039746,0.00039746,0.00039746
7,3926.74,0.84523,1.01006,1.19637,0.77656,0.1511,0.14704,0.0891,1.24354,1.14368,1.44699,0.000381752,0.000381752,0.000381752
8,4387.21,0.83192,0.9824,1.18759,0.72929,0.1423,0.15332,0.09183,1.23548,1.11578,1.43815,0.000366044,0.000366044,0.000366044
9,4965.24,0.81485,0.96086,1.17565,0.82004,0.13281,0.15674,0.09558,1.22012,1.06786,1.42353,0.000350336,0.000350336,0.000350336
10,5566.32,0.80031,0.93477,1.16407,0.74608,0.17892,0.16354,0.10387,1.20135,1.05819,1.39714,0.000334628,0.000334628,0.000334628
11,6128.92,0.78442,0.91952,1.15696,0.70613,0.19814,0.1808,0.11079,1.1888,1.0678,1.3938,0.00031892,0.00031892,0.00031892
12,6697.82,0.77524,0.89408,1.15209,0.73453,0.21058,0.18946,0.11934,1.15415,0.98895,1.35984,0.000303212,0.000303212,0.000303212
13,7357.93,0.76799,0.87866,1.1473,0.62265,0.23238,0.19541,0.12222,1.14889,1.0186,1.35481,0.000287504,0.000287504,0.000287504
14,7860.01,0.76043,0.86578,1.13648,0.74312,0.22033,0.20084,0.12829,1.12442,0.96936,1.33387,0.000271796,0.000271796,0.000271796
15,8252.05,0.75308,0.8492,1.13134,0.68766,0.22349,0.20734,0.13566,1.13188,0.93885,1.34201,0.000256088,0.000256088,0.000256088
16,8752.79,0.74621,0.8407,1.12871,0.69458,0.22399,0.20692,0.13188,1.11759,0.93705,1.32499,0.00024038,0.00024038,0.00024038
17,9209.41,0.73204,0.81566,1.12126,0.72445,0.22853,0.20313,0.12985,1.11493,0.94305,1.32043,0.000224672,0.000224672,0.000224672
18,9603.01,0.72253,0.80673,1.11427,0.7493,0.20832,0.20956,0.13702,1.09308,0.92342,1.30679,0.000208964,0.000208964,0.000208964
19,9953.5,0.71743,0.79381,1.11116,0.62895,0.22575,0.21754,0.14178,1.08641,0.90953,1.296,0.000193256,0.000193256,0.000193256
20,10321.8,0.71141,0.78544,1.10492,0.71859,0.22416,0.22318,0.14955,1.06457,0.90694,1.27659,0.000177548,0.000177548,0.000177548
21,10649.4,0.72995,0.76106,1.11242,0.55644,0.25013,0.23141,0.15518,1.05273,0.89404,1.27342,0.00016184,0.00016184,0.00016184
22,10976.2,0.71765,0.73441,1.09995,0.52167,0.25182,0.23681,0.15787,1.04934,0.87164,1.26801,0.000146132,0.000146132,0.000146132
23,11300.1,0.71018,0.71831,1.09648,0.61632,0.28519,0.25073,0.16263,1.04014,0.8671,1.25713,0.000130424,0.000130424,0.000130424
24,11623.9,0.69813,0.70453,1.08777,0.5826,0.25095,0.24065,0.15981,1.03527,0.85867,1.25167,0.000114716,0.000114716,0.000114716
25,11947.4,0.69271,0.69141,1.08377,0.64539,0.25528,0.25313,0.16665,1.02893,0.84387,1.24455,9.9008e-05,9.9008e-05,9.9008e-05
26,12270.9,0.68589,0.67716,1.07774,0.67286,0.25074,0.25768,0.17204,1.02749,0.84761,1.24356,8.33e-05,8.33e-05,8.33e-05
27,12594.7,0.67795,0.66447,1.07001,0.63597,0.27562,0.26576,0.17378,1.0247,0.83223,1.23989,6.7592e-05,6.7592e-05,6.7592e-05
28,12918.2,0.67171,0.6542,1.06613,0.64775,0.26392,0.26246,0.17405,1.01987,0.83293,1.23508,5.1884e-05,5.1884e-05,5.1884e-05
29,13241,0.66229,0.64557,1.06311,0.6359,0.26676,0.25982,0.17204,1.01602,0.82571,1.23259,3.6176e-05,3.6176e-05,3.6176e-05
30,13564.9,0.65553,0.63344,1.05657,0.6515,0.26055,0.26118,0.17528,1.01392,0.82391,1.23136,2.0468e-05,2.0468e-05,2.0468e-05
